"crash_time","crash_count"
2014-01-01,382
2014-08-01,404
2015-05-01,560
2015-06-01,615
2015-07-01,570
2015-08-01,716
2015-09-01,1084
2015-10-01,1551
2015-11-01,1405
2015-12-01,1265
2016-01-01,815
2016-02-01,821
2016-03-01,925
2016-04-01,862
2016-05-01,1037
2016-06-01,816
2016-07-01,1095
2016-08-01,1468
2016-09-01,1500
2016-10-01,1666
2016-11-01,1436
2016-12-01,1686
2017-01-01,1426
2017-02-01,1239
2017-03-01,1690
2017-04-01,1640
2017-05-01,1874
2017-06-01,1873
2017-07-01,2482
2017-08-01,2666
2017-09-01,3201
2017-10-01,3533
2017-11-01,3138
2017-12-01,3647
2018-01-01,3192
2018-02-01,2710
2018-03-01,3313
2018-04-01,3452
2018-05-01,3695
2018-06-01,3574
2018-07-01,3470
2018-08-01,3483
2018-09-01,3420
2018-10-01,3656
2018-11-01,3359
2018-12-01,3520
2019-01-01,3341
2019-02-01,2872
2019-03-01,3499
2019-04-01,3172
2019-05-01,3705
2019-06-01,3656
2019-07-01,3710
2019-08-01,3378
2019-09-01,3569
2019-10-01,3546
2019-11-01,3364
2019-12-01,3451
2020-01-01,3194
2020-02-01,3226
2020-03-01,1972
2020-04-01,1808
2020-05-01,2630
2020-06-01,3020
2020-07-01,3414
2020-08-01,3468
2020-09-01,3181
2020-10-01,3193
2020-11-01,2725
2020-12-01,2872
2021-01-01,2955
2021-02-01,2945
2021-03-01,3175
2021-04-01,3227
2021-05-01,3943
2021-06-01,4057
2021-07-01,4005
2021-08-01,4034
2021-09-01,3982
2021-10-01,4214
2021-11-01,3499
2021-12-01,3272
2022-01-01,3666
2022-02-01,3048
2022-03-01,3642
2022-04-01,3400
2022-05-01,3951
2022-06-01,3911
2022-07-01,3867
2022-08-01,3784
2022-09-01,3860
2022-10-01,4256
2022-11-01,3658
2022-12-01,3849
2023-01-01,3785
2023-02-01,3312
2023-03-01,3864
2023-04-01,3906
2023-05-01,4147
2023-06-01,3832
2023-07-01,4141
2023-08-01,4212
2023-09-01,3965
2023-10-01,4435
2023-11-01,3696
2023-12-01,3764
2014-02-01,281
2014-06-01,290
2015-02-01,392
2015-04-01,355
2015-05-01,398
2015-07-01,407
2015-08-01,524
2015-09-01,839
2015-10-01,1116
2015-11-01,962
2015-12-01,884
2016-01-01,669
2016-02-01,530
2016-03-01,649
2016-04-01,573
2016-05-01,643
2016-06-01,641
2016-07-01,817
2016-08-01,995
2016-09-01,1001
2016-10-01,1078
2016-11-01,956
2016-12-01,1067
2017-01-01,907
2017-02-01,837
2017-03-01,1064
2017-04-01,1034
2017-05-01,1195
2017-06-01,1239
2017-07-01,1288
2017-08-01,1423
2017-09-01,1610
2017-10-01,1813
2017-11-01,1496
2017-12-01,1725
2018-01-01,1561
2018-02-01,1477
2018-03-01,1561
2018-04-01,1652
2018-05-01,1841
2018-06-01,1807
2018-07-01,1777
2018-08-01,1755
2018-09-01,1769
2018-10-01,1740
2018-11-01,1614
2018-12-01,1667
2019-01-01,1635
2019-02-01,1393
2019-03-01,1793
2019-04-01,1697
2019-05-01,2008
2019-06-01,1881
2019-07-01,1896
2019-08-01,1732
2019-09-01,1734
2019-10-01,1663
2019-11-01,1599
2019-12-01,1554
2020-01-01,1634
2020-02-01,1631
2020-03-01,817
2020-04-01,712
2020-05-01,1095
2020-06-01,1219
2020-07-01,1425
2020-08-01,1483
2020-09-01,1240
2020-10-01,1270
2020-11-01,964
2020-12-01,1063
2021-01-01,1136
2021-02-01,1279
2021-03-01,1212
2021-04-01,1163
2021-05-01,1433
2021-06-01,1434
2021-07-01,1480
2021-08-01,1576
2021-09-01,1504
2021-10-01,1577
2021-11-01,1188
2021-12-01,1171
2022-01-01,1173
2022-02-01,1047
2022-03-01,1266
2022-04-01,1221
2022-05-01,1390
2022-06-01,1407
2022-07-01,1373
2022-08-01,1371
2022-09-01,1391
2022-10-01,1322
2022-11-01,1036
2022-12-01,1117
2023-01-01,1088
2023-02-01,1032
2023-03-01,1168
2023-04-01,1218
2023-05-01,1423
2023-06-01,1180
2023-07-01,1288
2023-08-01,1311
2023-09-01,1207
2023-10-01,1235
2023-11-01,977
2023-12-01,1042
2015-01-01,152
2015-02-01,126
2015-07-01,131
2015-08-01,194
2015-09-01,253
2015-10-01,349
2015-11-01,354
2015-12-01,337
2016-01-01,210
2016-02-01,164
2016-03-01,203
2016-04-01,209
2016-05-01,243
2016-06-01,208
2016-07-01,274
2016-08-01,347
2016-09-01,334
2016-10-01,414
2016-11-01,311
2016-12-01,374
2017-01-01,363
2017-02-01,288
2017-03-01,432
2017-04-01,408
2017-05-01,505
2017-06-01,457
2017-07-01,590
2017-08-01,637
2017-09-01,794
2017-10-01,823
2017-11-01,659
2017-12-01,766
2018-01-01,773
2018-02-01,772
2018-03-01,813
2018-04-01,786
2018-05-01,944
2018-06-01,873
2018-07-01,920
2018-08-01,900
2018-09-01,892
2018-10-01,839
2018-11-01,730
2018-12-01,942
2019-01-01,698
2019-02-01,673
2019-03-01,773
2019-04-01,723
2019-05-01,895
2019-06-01,946
2019-07-01,963
2019-08-01,775
2019-09-01,709
2019-10-01,773
2019-11-01,717
2019-12-01,779
2020-01-01,660
2020-02-01,665
2020-03-01,320
2020-04-01,309
2020-05-01,463
2020-06-01,558
2020-07-01,624
2020-08-01,617
2020-09-01,508
2020-10-01,520
2020-11-01,388
2020-12-01,450
2021-01-01,432
2021-02-01,484
2021-03-01,468
2021-04-01,454
2021-05-01,595
2021-06-01,557
2021-07-01,653
2021-08-01,568
2021-09-01,562
2021-10-01,638
2021-11-01,431
2021-12-01,379
2022-01-01,406
2022-02-01,403
2022-03-01,461
2022-04-01,481
2022-05-01,563
2022-06-01,558
2022-07-01,571
2022-08-01,532
2022-09-01,577
2022-10-01,535
2022-11-01,488
2022-12-01,500
2023-01-01,484
